valor,data
65.53049,2012-02-09
63.99786,2012-02-10
,2012-02-11
,2012-02-12
65.69153,2012-02-13
65.03853,2012-02-14
65.36849,2012-02-15
66.1417,2012-02-16
66.2035,2012-02-17
,2012-02-18
,2012-02-19
,2012-02-20
,2012-02-21
66.09277,2012-02-22
65.81962,2012-02-23
65.94273,2012-02-24
,2012-02-25
,2012-02-26
65.24149,2012-02-27
65.95878,2012-02-28
65.81173,2012-02-29
66.8098,2012-03-01
67.7816,2012-03-02
,2012-03-03
,2012-03-04
66.96403,2012-03-05
65.11415,2012-03-06
66.01676,2012-03-07
66.90839,2012-03-08
66.70396,2012-03-09
,2012-03-10
,2012-03-11
66.38476,2012-03-12
68.39433,2012-03-13
68.25722,2012-03-14
67.74949,2012-03-15
67.68413,2012-03-16
,2012-03-17
,2012-03-18
67.73031,2012-03-19
67.29556,2012-03-20
66.86005,2012-03-21
65.82819,2012-03-22
65.81295,2012-03-23
,2012-03-24
,2012-03-25
66.68459,2012-03-26
66.03735,2012-03-27
65.07934,2012-03-28
64.87199,2012-03-29
64.51097,2012-03-30
,2012-03-31
,2012-04-01
65.21625,2012-04-02
64.28426,2012-04-03
63.52865,2012-04-04
63.69118,2012-04-05
,2012-04-06
,2012-04-07
,2012-04-08
62.92321,2012-04-09
61.73828,2012-04-10
61.29314,2012-04-11
63.058,2012-04-12
62.1056,2012-04-13
,2012-04-14
,2012-04-15
61.95455,2012-04-16
62.69887,2012-04-17
63.01048,2012-04-18
62.61841,2012-04-19
62.49408,2012-04-20
,2012-04-21
,2012-04-22
61.53938,2012-04-23
61.97114,2012-04-24
61.75038,2012-04-25
62.19806,2012-04-26
61.69121,2012-04-27
,2012-04-28
,2012-04-29
61.82026,2012-04-30
,2012-05-01
62.42356,2012-05-02
62.10415,2012-05-03
60.82093,2012-05-04
,2012-05-05
,2012-05-06
61.22043,2012-05-07
60.36548,2012-05-08
59.78612,2012-05-09
59.70205,2012-05-10
59.44521,2012-05-11
,2012-05-12
,2012-05-13
57.53961,2012-05-14
56.23797,2012-05-15
55.88757,2012-05-16
54.0382,2012-05-17
